col_number,released_date,released_number,genre,title,metascore,budget,domesticboxoffice,totalworldwideboxoffice,profit,profit_margin,roi
1,1450396800000,2015,Adventure,Star Wars Ep. VII: The Force Awakens,81,200000000,926044884,2148044884,1948044884,90.68920759,1074.022442
2,1434067200000,2015,Action,Jurassic World,59,215000000,652198010,1670328025,1455328025,87.12827679,776.8967558
3,1430438400000,2015,Action,The Avengers: Age of Ultron,66,250000000,459005868,1404705868,1154705868,82.20267989,561.8823472
4,1434672000000,2015,Adventure,Inside Out,94,175000000,356461711,853874065,678874065,79.50517445,487.9280371
5,1428019200000,2015,Action,Furious 7,67,190000000,351032910,1514019071,1324019071,87.45062043,796.8521426
6,1436486400000,2015,Comedy,Minions,56,74000000,336045770,1163618814,1089618814,93.64052909,1572.457857
7,1447977600000,2015,Thriller/Suspense,The Hunger Games: Mockingjay - Part 2,65,160000000,281723902,650523427,490523427,75.40442152,406.5771419
8,1443744000000,2015,Thriller/Suspense,The Martian,80,108000000,228349433,632831438,524831438,82.93384407,585.9550352
9,1426204800000,2015,Drama,Cinderella,67,95000000,201151353,534551353,439551353,82.22808726,562.6856347
10,1446768000000,2015,Action,Spectre,60,300000000,199829527,879376275,579376275,65.88491087,293.125425
11,1438300800000,2015,Action,Mission: Impossible - Rogue Nation,75,150000000,195042377,700868363,550868363,78.59797818,467.2455753
12,1431648000000,2015,Comedy,Pitch Perfect 2,63,29000000,183785415,286995378,257995378,89.89530765,989.6392345
13,1437091200000,2015,Action,Ant-Man,64,130000000,180202163,518602163,388602163,74.93261516,398.9247408
14,1427414400000,2015,Adventure,Home,55,130000000,177397510,386085953,256085953,66.32874131,296.9891946
15,1451001600000,2015,Adventure,The Revenant,76,135000000,170506469,404006469,269006469,66.58469347,299.2640511
16,1443139200000,2015,Comedy,Hotel Transylvania 2,44,80000000,169670839,469034909,389034909,82.94370025,586.2936363
17,1423785600000,2015,Drama,Fifty Shades of Grey,46,40000000,166167230,570978470,530978470,92.99448191,1427.446175
18,1423180800000,2015,Comedy,The SpongeBob Movie: Sponge Out of Water,62,74000000,162994032,311594032,237594032,76.25114977,421.0730162
19,1439510400000,2015,Drama,Straight Outta Compton,72,28000000,161058685,201229373,173229373,86.08553037,718.6763321
20,1432857600000,2015,Adventure,San Andreas,43,110000000,155190832,469590832,359590832,76.57535188,426.9007564
21,1431648000000,2015,Action,Mad Max: Fury Road,90,150000000,153636354,373136354,223136354,59.80021823,248.7575693
22,1451001600000,2015,Comedy,Daddys Home,42,50000000,147994017,235294017,185294017,78.74999091,470.588034
23,1426809600000,2015,Action,Insurgent,42,110000000,130179072,295279072,185279072,62.7471059,268.43552
24,1446768000000,2015,Comedy,The Peanuts Movie,67,99000000,130103402,244703402,145703402,59.54285915,247.1751535
25,1423785600000,2015,Action,Kingsman: The Secret Service,58,81000000,128261724,404561724,323561724,79.97833329,499.4589185
26,1448409600000,2015,Adventure,The Good Dinosaur,66,187500000,121964581,315029967,127529967,40.48185264,168.0159824
27,1433462400000,2015,Comedy,Spy!,75,65000000,110825712,233125712,168125712,72.11804762,358.6549415
28,1437091200000,2015,Comedy,Trainwreck,75,35000000,110038130,140561831,105561831,75.09992595,401.6052314
29,1448409600000,2015,Drama,Creed,82,37000000,109536729,168036729,131036729,77.98100438,454.1533216
30,1432252800000,2015,Adventure,Tomorrowland,60,170000000,93436322,205336322,35336322,17.20899725,120.7860718
31,1427414400000,2015,Comedy,Get Hard,34,40000000,90411453,106511453,66511453,62.44535318,266.2786325
32,1435708800000,2015,Action,Terminator: Genisys,38,155000000,89760956,440160956,285160956,64.78560902,283.9748103
33,1420761600000,2015,Action,Taken 3,26,48000000,89256424,327656424,279656424,85.35050849,682.61755
34,1450396800000,2015,Comedy,Sisters,58,30000000,86971160,104644438,74644438,71.33149112,348.8147933
35,1450396800000,2015,Adventure,Alvin and the Chipmunks: The Road Chip,33,90000000,84821401,224521401,134521401,59.91473436,249.4682233
36,1442534400000,2015,Thriller/Suspense,Maze Runner: The Scorch Trials,43,61000000,81697192,310697192,249697192,80.36673598,509.339659
37,1435276800000,2015,Comedy,Ted 2,48,68000000,81284830,216500183,148500183,68.59125057,318.3826221
38,1444953600000,2015,Horror,Goosebumps,60,58000000,80069458,155269458,97269458,62.64558352,267.7059621
39,1437696000000,2015,Comedy,Pixels,27,90000000,78747585,244126300,154126300,63.13383687,271.2514444
40,1421366400000,2015,Adventure,Paddington,77,55000000,76223578,259541430,204541430,78.80877824,471.8935091
41,1443139200000,2015,Comedy,The Intern,51,40000000,75764672,190318438,150318438,78.98259337,475.796095
42,1444953600000,2015,Thriller/Suspense,Bridge of Spies,81,40000000,72232773,161432773,121432773,75.22188385,403.5819325
44,1449792000000,2015,Drama,The Big Short,81,28000000,68510852,122910852,94910852,77.21926132,438.9673286
45,1440720000000,2015,Drama,War Room,26,3000000,67790117,73655423,70655423,95.92698015,2455.180767
46,1435708800000,2015,Comedy,Magic Mike XXL,60,14500000,66013057,117813057,103313057,87.69236588,812.5038414
47,1441929600000,2015,Thriller/Suspense,The Visit,55,5000000,65112020,98315786,93315786,94.91434672,1966.31572
48,1421366400000,2015,Comedy,The Wedding Ringer,35,23000000,64460211,80171596,57171596,71.31153532,348.5721565
49,1442534400000,2015,Drama,Black Mass,68,53000000,62575678,95341263,42341263,44.41021827,179.8891755
50,1438128000000,2015,Comedy,Vacation,34,31000000,58884188,100655793,69655793,69.20197132,324.6961065
51,1441929600000,2015,Thriller/Suspense,The Perfect Guy,36,12000000,57017904,60263629,48263629,80.08749191,502.1969083
52,1451001600000,2015,Drama,Joy,56,60000000,56293142,98193142,38193142,38.89593634,163.6552367
53,1438905600000,2015,Action,Fantastic Four,27,120000000,56117548,167117548,47117548,28.19425522,139.2646233
54,1424995200000,2015,Romantic Comedy,Focus,56,65000000,53862963,154362963,89362963,57.89145353,237.4814815
55,1451001600000,2015,Western,The Hateful Eight,68,62000000,53519636,139716823,77716823,55.62452776,225.3497145
56,1437696000000,2015,Drama,Southpaw,57,30000000,52421953,88637229,58637229,66.15417659,295.45743
57,1433462400000,2015,Horror,Insidious Chapter 3,52,10000000,52218558,120678444,110678444,91.71351596,1206.78444
58,1423180800000,2015,Action,Jupiter Ascending,40,179000000,47482519,181982519,2982519,1.638904119,101.6662117
59,1432252800000,2015,Horror,Poltergeist,47,35000000,47425125,95825125,60825125,63.47513244,273.7860714
60,1442534400000,2015,Thriller/Suspense,Sicario,81,30000000,46889293,78364292,48364292,61.71725765,261.2143067
61,1439510400000,2015,Action,The Man From U.N.C.L.E.,56,75000000,45445109,105445109,30445109,28.87294564,140.5934787
62,1424390400000,2015,Drama,"McFarland, USA",60,17000000,44480275,45707924,28707924,62.80732417,268.8701412
63,1438905600000,2015,Thriller/Suspense,The Gift,77,5000000,43787265,58978653,53978653,91.5223564,1179.57306
64,1442534400000,2015,Thriller/Suspense,Everest,64,65000000,43309450,204130404,139130404,68.15760968,314.0467754
65,1447977600000,2015,Comedy,The Night Before,58,25000000,43035725,52427346,27427346,52.31496174,209.709384
66,1449187200000,2015,Black Comedy,Krampus,49,15000000,42725475,61765109,46765109,75.71444422,411.7673933
67,1435276800000,2015,Adventure,Max,47,20000000,42656255,43553101,23553101,54.0790448,217.765505
68,1429833600000,2015,Drama,The Age of Adaline,51,30000000,42629776,60333540,30333540,50.27641342,201.1118
69,1446768000000,2015,Thriller/Suspense,Spotlight,93,20000000,39173609,59582076,39582076,66.4328581,297.91038
70,1428624000000,2015,Drama,The Longest Ride,33,34000000,37446117,61146117,27146117,44.39548794,179.8415206
71,1446595200000,2015,Drama,Brooklyn,87,11000000,36509627,50084372,39084372,78.03706114,455.3124727
72,1421971200000,2015,Thriller/Suspense,The Boy Next Door,30,4000000,35423380,52426530,48426530,92.37027513,1310.66325
