Year,Year2,Film,Budget $,Outcome,First Month,takings
1995,1995,Pulp Fiction,12.3,Nominee,80.1,6.52
2011,2011,The Fighter,11.4,Nominee,54,4.72
2010,2010,The Blind Side,37.6,Nominee,169.7,4.51
2000,2000,The Sixth Sense,54.3,Nominee,241.5,4.44
2012,2012,The Help,25.5,Nominee,109.7,4.3
2004,2004,Lost in Translation,5,Nominee,21.2,4.28
2010,2010,District 9,32.2,Nominee,117.4,3.64
1995,1995,Forrest Gump,84.4,Winner,300.6,3.56
2010,2010,Precious,10.7,Nominee,37.2,3.47
2004,2004,The Lord of the Rings: The Return of the King,116.4,Winner,400.8,3.44
1994,1994,The Fugitive,69.4,Nominee,234.8,3.38
2011,2011,True Grit,36.4,Nominee,122.3,3.36
2003,2003,The Lord of the Rings: The Two Towers,119.5,Nominee,372,3.11
2011,2011,Black Swan,13.5,Nominee,40.5,3
2011,2011,The Kids Are All Right,4.2,Nominee,12.3,2.97
1998,1998,The Full Monty,5,Nominee,13.1,2.61
1999,1999,Saving Private Ryan,91.3,Nominee,236,2.58
1995,1995,Four Weddings and a Funeral,6.9,Nominee,17,2.47
2008,2008,Juno,7.6,Nominee,18.6,2.45
2014,2014,American Hustle,40,Nominee,95.4,2.39
1996,1996,Apollo 13,96.9,Nominee,226,2.33
2015,2015,American Sniper,58.8,Nominee,136.6,2.32
1997,1997,Secrets & Lies,6.6,Nominee,15.1,2.3
2001,2001,Erin Brockovich,66.1,Nominee,142.9,2.16
1997,1997,Jerry Maguire,72.9,Nominee,157,2.15
2002,2002,The Lord of the Rings: The Fellowship of the Ring,141.7,Nominee,304.8,2.15
2014,2014,Gravity,100,Nominee,201.6,2.02
2013,2013,Les Miserables,65.3,Nominee,128.8,1.97
2015,2015,Boyhood,4,Nominee,7.5,1.88
2011,2011,The Social Network,41.6,Nominee,78.1,1.87
2013,2013,Argo,44.7,Winner,81.9,1.83
2011,2011,Toy Story 3,208,Nominee,380.1,1.82
1997,1997,Fargo,10.2,Nominee,18.1,1.78
2000,2000,American Beauty,20.4,Winner,35.5,1.74
2005,2005,Ray,47.9,Nominee,82.2,1.71
2015,2015,Selma,20,Nominee,33.9,1.7
1996,1996,Babe,44.7,Nominee,74.1,1.65
2008,2008,Michael Clayton,23.3,Nominee,36.7,1.57
2000,2000,The Green Mile,81.5,Nominee,126.3,1.55
2011,2011,Inception,166.4,Nominee,256.8,1.54
