Year,Film,Opening Weekend Takings $,Budget $,Outcome
1994,Schindler's List,1324400,39450000,Winner
1994,The Remains of the Day,3083800,23670000,Nominee
1994,The Fugitive,47919400,69432000,Nominee
1995,Four Weddings and a Funeral,276600,6907500,Nominee
1995,The Silence of the Lambs,1452900,38375000,Nominee
1995,Pulp Fiction,18601500,12280000,Nominee
1995,Forrest Gump,48842700,84425000,Winner
1996,Sense and Sensibility,1384600,24601500,Nominee
1996,The Postman (Il Postino),9569400,119280000,Nominee
1996,Babe,16781700,44730000,Nominee
1996,Braveheart,19076900,107352000,Winner
1996,Apollo 13,48666800,96915000,Nominee
1997,Secrets & Lies,114900,6556500,Nominee
1997,Shine,306400,8013500,Nominee
1997,The English Patient,526000,50995000,Winner
1997,Fargo,1379600,10199000,Nominee
1997,Jerry Maguire,32274600,72850000,Nominee
1998,The Full Monty,321200,5022500,Nominee
1998,Good Will Hunting,496500,14350000,Nominee
1998,L.A. Confidential,9480100,50225000,Nominee
1998,As Good as It Gets,22934200,71750000,Nominee
1998,Titanic,52097700,287000000,Winner
1999,Shakespeare in Love,398800,36504000,Winner
1999,The Thin Red Line,503000,73008000,Nominee
1999,Saving Private Ryan,54437200,91260000,Nominee
2000,American Beauty,1416100,20370000,Winner
2000,The Insider,11033100,92344000,Nominee
2000,The Green Mile,29614800,81480000,Nominee
2000,The Sixth Sense,43856000,54320000,Nominee
2001,Chocolat,244200,33050000,Nominee
2001,Traffic,286200,63456000,Nominee
2001,"Crouching Tiger, Hidden Dragon",1027400,19830000,Nominee
2001,Erin Brockovich,43591100,66100000,Nominee
2001,Gladiator,53940400,136166000,Winner
2002,In the Bedroom,138600,2210000,Nominee
2002,Moulin Rouge,247200,68900000,Nominee
2002,Gosford Park,355900,23400000,Nominee
2002,A Beautiful Mind,541600,101400000,Winner
2002,The Lord of the Rings: The Fellowship of the Ring,69649500,141700000,Nominee
2003,The Pianist,159900,44485000,Nominee
2003,The Hours,486700,31775000,Nominee
2003,Chicago,2982000,38130000,Winner
2003,Gangs of New York,13648700,123287000,Nominee
2003,The Lord of the Rings: The Two Towers,89115800,119474000,Nominee
2004,Mystic River,887400,37140000,Nominee
2004,Lost in Translation,1281000,4952000,Nominee
2004,Seabiscuit,28878400,106468000,Nominee
2004,Master and Commander: The Far Side of the World,34765300,167130000,Nominee
2004,The Lord of the Rings: The Return of the King,100573500,116372000,Winner
2005,Million Dollar Baby,242000,35940000,Winner
2005,Sideways,278400,20366000,Nominee
2005,Finding Neverland,296500,29950000,Nominee
2005,The Aviator,1153700,131780000,Nominee
2005,Ray,26945500,47920000,Nominee
2006,Capote,423200,8120000,Nominee
2006,"Good Night, and Good Luck.",549000,8120000,Nominee
2006,Brokeback Mountain,713100,16124000,Nominee
2006,Crash,1394800,11600000,Winner
2006,Munich,5409000,87000000,Nominee
2007,Letters from Iwo Jima,113600,14664000,Nominee
2007,The Queen,155500,16920000,Nominee
2007,Little Miss Sunshine,473000,9024000,Nominee
2007,Babel,496300,22560000,Nominee
2007,The Departed,34276400,101520000,Winner
2008,There Will Be Blood,231500,27150000,Nominee
2008,Juno,502300,7602000,Nominee
2008,Michael Clayton,873700,23349000,Nominee
2008,Atonement,951700,32580000,Nominee
2008,No Country for Old Men,1488400,27150000,Winner
2009,The Reader,195400,35425000,Nominee
2009,Frost/Nixon,210200,31610000,Nominee
2009,Slumdog Millionaire,418700,15260000,Winner
2009,Milk,1690800,21800000,Nominee
2009,The Curious Case of Benjamin Button,31229700,174400000,Nominee
2010,The Hurt Locker,162700,16095000,Winner
2010,An Education,174500,8047500,Nominee
2010,A Serious Man,275800,7511000,Nominee
2010,Up in the Air,1296300,32190000,Nominee
2010,Precious: Based on the Novel ÔPushÕ by Sapphire,2054500,10730000,Nominee
2010,The Blind Side,37437200,37555000,Nominee
2010,District 9,41810800,32190000,Nominee
2010,Inglourious Basterds,42594700,75110000,Nominee
2010,Up,76234400,187775000,Nominee
2010,Avatar,84515500,456025000,Nominee
2011,Winter's Bone,89900,2080000,Nominee
2011,127 Hours,276100,18720000,Nominee
2011,The Fighter,312700,11440000,Nominee
2011,The King's Speech,370500,15600000,Winner
2011,The Kids Are All Right,532800,4160000,Nominee
2011,Black Swan,1505100,13520000,Nominee
2011,The Social Network,23398400,41600000,Nominee
2011,True Grit,25884400,36400000,Nominee
2011,Inception,67997100,166400000,Nominee
2011,Toy Story 3,116886400,208000000,Nominee
2012,The Artist,218500,16304000,Winner
2012,The Tree of Life,386300,35665000,Nominee
2012,Midnight in Paris,620600,30570000,Nominee
2012,War Horse,8014500,71330000,Nominee
2012,Hugo,12119200,183420000,Nominee
2012,Moneyball,20508300,50950000,Nominee
2012,The Help,27389500,25475000,Nominee
2013,Amour,70800,9748500,Nominee
2013,Beasts of the Southern Wild,182100,1809000,Nominee
2013,Zero Dark Thirty,432700,52762500,Nominee
2013,Silver Linings Playbook,459500,21105000,Nominee
2013,Lincoln,979500,65325000,Nominee
2013,Casablanca,2500000,4600000,Nominee
2013,Argo,20183300,44722500,Winner
2013,Life of Pi,23288200,120600000,Nominee
2013,Les Mis_rables,28298400,65325000,Nominee
2013,Django Unchained,31245500,100500000,Nominee
